,,Identification of these components should be considered tentative until confirmed with standards,,,,,,,,,
UO ID,Sample Index,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,LOQ <0.5pmol,,,
T405,26,20:0hexoylCer,2.27E+02,4.87E+03,0.047,12.29,0.9,,,,
T406,27,20:0hexoylCer,4.54E+02,5.47E+03,0.083,12.13,1.9,,,,
T407,28,20:0hexoylCer,1.39E+03,4.79E+03,0.29,12.26,7.5,,,,
T408,29,20:0hexoylCer,5.39E+02,6.63E+03,0.081,12.11,1.8,,,,
T500,30,20:0hexoylCer,1.62E+03,4.62E+03,0.35,12.13,9.1,,,,
T501,31,20:0hexoylCer,3.40E+02,5.16E+03,0.066,12.22,1.4,,,,
T502,32,20:0hexoylCer,9.36E+02,4.37E+03,0.214,12.26,5.4,,,,
T503,33,20:0hexoylCer,1.42E+03,5.19E+03,0.273,12.43,7.0,,,,
T504,34,20:0hexoylCer,5.10E+02,4.74E+03,0.108,12.1,2.6,,,,
T505,35,20:0hexoylCer,9.36E+02,4.14E+03,0.226,12.34,5.7,,,,
T506,36,20:0hexoylCer,8.22E+02,3.52E+03,0.234,12.12,6.0,,,,
T101,1,22:0hexosylCer,3.15E+03,8.68E+03,0.363,12.12,7.2,,,,
T103,2,22:0hexosylCer,2.27E+03,5.93E+03,0.383,12.08,7.6,,,,
T104,3,22:0hexosylCer,7.29E+03,5.53E+03,1.318,12.28,26.6,,,,
T105,4,22:0hexosylCer,9.07E+02,8.79E+03,0.103,12.22,1.9,,,,
T106,5,22:0hexosylCer,2.84E+03,7.34E+03,0.386,12.01,7.6,,,,
T107,6,22:0hexosylCer,1.51E+04,3.26E+03,4.631,12.17,94.1,,,,
T108,7,22:0hexosylCer,2.10E+03,9.61E+03,0.218,12.01,4.2,,,,
T109,8,22:0hexosylCer,1.25E+03,5.42E+03,0.23,12.17,4.5,,,,
T201,9,22:0hexosylCer,6.10E+03,5.24E+03,1.163,12.17,23.5,,,,
T202,10,22:0hexosylCer,5.95E+02,5.84E+03,0.102,12.37,1.9,,,,
T203,11,22:0hexosylCer,2.27E+03,4.54E+03,0.5,12.31,10.0,,,,
T204,12,22:0hexosylCer,7.63E+03,3.46E+03,2.208,12.17,44.7,,,,
T205,13,22:0hexosylCer,7.94E+02,5.16E+03,0.154,12.22,2.9,,,,
T304,14,22:0hexosylCer,6.00E+03,4.45E+03,1.347,12.03,27.2,,,,
T305,15,22:0hexosylCer,3.96E+02,5.56E+03,0.071,12.26,1.2,,,,
T306,16,22:0hexosylCer,2.44E+03,4.52E+03,0.539,12.41,10.8,,,,
T307,17,22:0hexosylCer,7.37E+02,6.26E+03,0.118,12.21,2.2,,,,
T308,18,22:0hexosylCer,8.79E+03,3.46E+03,2.541,12.03,51.5,,,,
T309,19,22:0hexosylCer,4.82E+03,4.40E+03,1.096,12.14,22.1,,,,
T311,20,22:0hexosylCer,7.95E+02,4.39E+03,0.181,12.03,3.5,,,,
T312,21,22:0hexosylCer,4.82E+02,4.28E+03,0.113,12.23,2.1,,,,
T400,22,22:0hexosylCer,1.21E+04,4.93E+03,2.444,12.05,49.5,,,,
T401,23,22:0hexosylCer,9.62E+02,4.60E+03,0.209,12.07,4.0,,,,
T402,24,22:0hexosylCer,2.78E+03,4.31E+03,0.644,12.29,12.9,,,,
T404,25,22:0hexosylCer,9.41E+03,4.96E+03,1.898,12.21,38.4,,,,
T405,26,22:0hexosylCer,8.80E+02,4.87E+03,0.18,12.21,3.4,,,,
T406,27,22:0hexosylCer,1.16E+03,5.47E+03,0.212,12.05,4.1,,,,
T407,28,22:0hexosylCer,3.95E+03,4.79E+03,0.824,12.18,16.6,,,,
T408,29,22:0hexosylCer,1.22E+03,6.63E+03,0.184,12.02,3.5,,,,
T500,30,22:0hexosylCer,5.22E+03,4.62E+03,1.13,12.05,22.8,,,,
T501,31,22:0hexosylCer,1.45E+03,5.16E+03,0.28,12.13,5.5,,,,
T502,32,22:0hexosylCer,2.79E+03,4.37E+03,0.64,12.19,12.8,,,,
T503,33,22:0hexosylCer,4.55E+03,5.19E+03,0.877,12.35,17.6,,,,
T504,34,22:0hexosylCer,2.35E+03,4.74E+03,0.497,12.03,9.9,,,,
T505,35,22:0hexosylCer,2.41E+03,4.14E+03,0.582,12.26,11.6,,,,
T506,36,22:0hexosylCer,3.12E+03,3.52E+03,0.887,12.03,17.8,,,,
T101,1,23:0hexosylCer,2.86E+03,8.68E+03,0.33,12.09,6.5,,,,
T103,2,23:0hexosylCer,1.70E+03,5.93E+03,0.287,12.04,5.6,,,,
T104,3,23:0hexosylCer,4.79E+03,5.53E+03,0.867,12.24,17.4,,,,
