UO ID,Sample ,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,ref std
T204,12,24:4SPM,2.49E+04,6.55E+04,0.3804,13.24,141.4,24:1SPM
T205,13,24:4SPM,3.71E+04,6.09E+04,0.6091,13.23,225.8,24:1SPM
T304,14,24:4SPM,2.51E+04,6.49E+04,0.3875,13.23,144.0,24:1SPM
T305,15,24:4SPM,1.30E+04,7.85E+04,0.1656,13.21,62.1,24:1SPM
T306,16,24:4SPM,2.19E+04,6.62E+04,0.3306,13.28,123.0,24:1SPM
T307,17,24:4SPM,9.92E+03,8.42E+04,0.1178,13.25,44.5,24:1SPM
T308,18,24:4SPM,5.27E+04,7.58E+04,0.6959,13.24,257.8,24:1SPM
T309,19,24:4SPM,5.07E+04,6.81E+04,0.7442,13.24,275.6,24:1SPM
T311,20,24:4SPM,4.16E+04,6.08E+04,0.6841,13.24,253.4,24:1SPM
T312,21,24:4SPM,3.32E+04,6.67E+04,0.4978,13.28,184.7,24:1SPM
T400,22,24:4SPM,1.47E+04,5.57E+04,0.264,13.26,98.4,24:1SPM
T401,23,24:4SPM,1.21E+04,6.60E+04,0.1833,13.23,68.6,24:1SPM
T402,24,24:4SPM,6.15E+03,5.91E+04,0.1041,13.19,39.4,24:1SPM
T404,25,24:4SPM,1.07E+04,7.07E+04,0.1509,13.23,56.7,24:1SPM
T405,26,24:4SPM,2.36E+04,6.66E+04,0.3537,13.26,131.5,24:1SPM
T406,27,24:4SPM,2.68E+04,6.37E+04,0.421,13.39,156.3,24:1SPM
T407,28,24:4SPM,1.01E+04,7.00E+04,0.1434,13.21,53.9,24:1SPM
T408,29,24:4SPM,1.12E+04,7.15E+04,0.1573,13.44,59.0,24:1SPM
T500,30,24:4SPM,1.15E+04,6.63E+04,0.1731,13.22,64.9,24:1SPM
T501,31,24:4SPM,3.93E+04,7.02E+04,0.5597,13.42,207.5,24:1SPM
T502,32,24:4SPM,2.12E+04,7.14E+04,0.2966,13.3,110.4,24:1SPM
T503,33,24:4SPM,1.62E+04,7.61E+04,0.2133,13.4,79.7,24:1SPM
T504,34,24:4SPM,1.49E+04,6.84E+04,0.2179,13.35,81.4,24:1SPM
T505,35,24:4SPM,2.88E+04,7.00E+04,0.4117,13.27,152.9,24:1SPM
T506,36,24:4SPM,6.63E+03,7.35E+04,0.0902,13.36,34.3,24:1SPM
