UO ID,Sample Name,Component Name,Area,IS Area,Area Ratio,Retention Time,pmol,,,
T402,24,18:3 AC,2.45E+03,6.77E+04,0.0362,14.13,7.6,,,
T402,24,4:0AC,1.53E+03,6.77E+04,0.0226,24.24,5.7,,,
T402,24,6:0AC,2.14E+03,6.77E+04,0.0316,17.99,7.0,,,
T402,24,8:0AC,5.60E+03,6.77E+04,0.0827,16.02,14.3,,,
T404,25,10:0AC,1.69E+04,7.34E+04,0.2303,15.15,35.3,,,
T404,25,12:0 AC,1.09E+04,7.34E+04,0.1484,14.67,23.6,,,
T404,25,14:0 AC,2.96E+04,7.34E+04,0.4038,14.3,60.0,,,
T404,25,16:0 AC,1.63E+05,7.34E+04,2.2269,14.01,319.7,,,
T404,25,16:1 AC,5.14E+04,7.34E+04,0.7009,14.12,102.3,,,
T404,25,18:0 AC,1.14E+05,7.34E+04,1.5593,13.77,224.6,,,
T404,25,18:1 AC,3.35E+05,7.34E+04,4.5652,13.87,652.8,,,
T404,25,18:2 AC,7.84E+04,7.34E+04,1.068,14.01,154.6,,,
T404,25,18:3 AC,3.46E+03,7.34E+04,0.0472,14.12,9.2,,,
T404,25,4:0AC,6.41E+03,7.34E+04,0.0874,24.11,14.9,,,
T404,25,6:0AC,4.78E+03,7.34E+04,0.0652,17.94,11.8,,,
T404,25,8:0AC,1.03E+04,7.34E+04,0.1401,16.01,22.4,,,
T405,26,10:0AC,1.44E+04,6.54E+04,0.2196,15.13,33.8,,,
T405,26,12:0 AC,1.21E+04,6.54E+04,0.1852,14.63,28.9,,,
T405,26,14:0 AC,4.05E+04,6.54E+04,0.6198,14.29,90.8,,,
T405,26,16:0 AC,2.29E+05,6.54E+04,3.5075,13.98,502.1,,,
T405,26,16:1 AC,6.08E+04,6.54E+04,0.9295,14.08,134.9,,,
T405,26,18:0 AC,1.62E+05,6.54E+04,2.484,13.75,356.3,,,
T405,26,18:1 AC,3.47E+05,6.54E+04,5.3066,13.85,758.4,,,
T405,26,18:2 AC,1.15E+05,6.54E+04,1.7588,13.99,253.0,,,
T405,26,18:3 AC,5.80E+03,6.54E+04,0.0888,14.11,15.1,,,
T405,26,4:0AC,4.09E+02,6.54E+04,0.0063,24.35,3.4,,,
T405,26,6:0AC,1.83E+03,6.54E+04,0.028,18.03,6.5,,,
T405,26,8:0AC,1.05E+04,6.54E+04,0.1604,15.98,25.3,,,
T406,27,10:0AC,1.67E+04,7.13E+04,0.234,15.33,35.8,,,
T406,27,12:0 AC,1.23E+04,7.13E+04,0.1729,14.82,27.1,,,
T406,27,14:0 AC,3.74E+04,7.13E+04,0.5242,14.46,77.2,,,
T406,27,16:0 AC,2.49E+05,7.13E+04,3.4883,14.14,499.4,,,
T406,27,16:1 AC,5.39E+04,7.13E+04,0.7558,14.25,110.1,,,
T406,27,18:0 AC,1.90E+05,7.13E+04,2.6651,13.9,382.1,,,
T406,27,18:1 AC,3.09E+05,7.13E+04,4.3346,14,619.9,,,
T406,27,18:2 AC,1.03E+05,7.13E+04,1.4471,14.14,208.6,,,
T406,27,18:3 AC,6.41E+03,7.13E+04,0.09,14.31,15.3,,,
T406,27,4:0AC,2.45E+03,7.13E+04,0.0343,24.51,7.4,,,
T406,27,6:0AC,3.16E+03,7.13E+04,0.0444,18.11,8.8,,,
T406,27,8:0AC,1.01E+04,7.13E+04,0.1414,16.13,22.6,,,
T407,28,10:0AC,3.66E+03,7.80E+04,0.047,15.13,9.2,,,
T407,28,12:0 AC,2.44E+03,7.80E+04,0.0313,14.6,6.9,,,
T407,28,14:0 AC,9.07E+03,7.80E+04,0.1163,14.28,19.1,,,
T407,28,16:0 AC,4.79E+04,7.80E+04,0.6137,13.98,89.9,,,
T407,28,16:1 AC,9.77E+03,7.80E+04,0.1254,14.09,20.3,,,
